city,rating,rooms,distance_from_center_km,amenities_count,price
Delhi,3.1,91,10.6,2,5854.0
Hyderabad,4.9,120,2.5,10,11317.0
Delhi,4.2,62,9.3,13,8659.0
Chennai,3.8,33,8.3,12,8161.0
Hyderabad,2.5,163,3.4,7,6373.0
Chennai,2.5,197,14.2,14,5661.0
Bangalore,2.2,133,9.2,4,4613.0
Hyderabad,4.6,50,10.6,5,8006.0
Bangalore,3.8,166,13.3,13,6951.0
Delhi,4.1,24,9.6,12,8439.0
Delhi,2.1,54,4.8,5,5662.0
Hyderabad,4.9,74,2.0,4,9948.0
Hyderabad,4.5,98,7.1,11,9082.0
Kolkata,2.6,80,3.7,4,6920.0
Chennai,2.5,18,6.5,4,6263.0
Kolkata,2.6,97,13.3,5,5135.0
Chennai,2.9,138,5.2,8,7487.0
Kolkata,3.6,145,2.3,5,8277.0
Bangalore,3.3,72,5.7,10,8015.0
Hyderabad,2.9,148,13.6,2,5151.0
Delhi,3.8,90,4.4,9,8382.0
Chennai,2.4,145,9.9,8,5639.0
Chennai,2.9,172,0.5,3,8006.0
Delhi,3.1,172,5.6,9,7610.0
Kolkata,3.4,42,4.9,2,7815.0
Chennai,4.4,132,2.9,12,9880.0
Bangalore,2.6,14,8.2,13,6639.0
Hyderabad,3.5,50,7.5,10,8050.0
Delhi,3.8,37,10.5,10,7497.0
Hyderabad,2.1,144,4.4,3,5346.0
Chennai,3.8,81,4.0,8,9015.0
Chennai,2.5,21,2.9,11,7685.0
Delhi,2.2,171,3.7,4,5963.0
Bangalore,4.8,42,8.6,8,9675.0
Mumbai,4.9,57,6.4,13,10261.0
Delhi,4.4,160,1.4,11,10054.0
Mumbai,2.9,71,4.2,10,7204.0
Kolkata,2.3,46,4.1,5,6030.0
Mumbai,4.1,108,10.6,13,8469.0
Bangalore,3.3,181,10.8,2,5522.0
Kolkata,2.4,113,2.6,3,6567.0
Mumbai,3.5,44,15.0,2,5409.0
Kolkata,2.1,110,4.4,13,7024.0
Mumbai,4.7,184,14.7,6,8092.0
Bangalore,2.8,140,6.5,6,6469.0
Mumbai,4.0,10,1.0,12,9874.0
Mumbai,2.9,14,5.5,8,6571.0
Mumbai,3.6,151,9.7,10,7709.0
Delhi,3.6,112,10.4,10,7489.0
Delhi,2.6,36,8.2,4,5197.0
Delhi,4.9,146,7.0,4,9079.0
Bangalore,4.3,24,8.5,4,8014.0
Kolkata,4.8,99,9.1,5,8942.0
Chennai,4.7,51,1.7,9,10547.0
Mumbai,3.8,133,5.9,7,8495.0
Mumbai,4.8,188,4.0,9,10082.0
Bangalore,2.3,72,12.1,2,3756.0
Mumbai,2.6,105,7.3,9,6065.0
Delhi,2.1,61,14.8,5,3466.0
Chennai,3.0,105,6.3,12,7737.0
